task,algorithm,type,auc_disc_return,final_disc_return
chain_sparse_long,QLearning,classical,15.327 +/- 0.488,15.285 +/- 0.976
chain_sparse_long,ExpectedSARSA,classical,15.464 +/- 0.555,15.765 +/- 0.948
chain_sparse_long,SafeQLearning,safe,15.327 +/- 0.488,15.285 +/- 0.976
chain_sparse_long,SafeExpectedSARSA,safe,15.464 +/- 0.555,15.765 +/- 0.948
chain_jackpot,QLearning,classical,1.268 +/- 0.099,1.521 +/- 0.399
chain_jackpot,ExpectedSARSA,classical,1.268 +/- 0.099,1.521 +/- 0.399
chain_jackpot,SafeQLearning,safe,1.268 +/- 0.099,1.521 +/- 0.399
chain_jackpot,SafeExpectedSARSA,safe,1.268 +/- 0.099,1.521 +/- 0.399
chain_catastrophe,QLearning,classical,1.990 +/- 0.508,1.324 +/- 1.184
chain_catastrophe,ExpectedSARSA,classical,1.836 +/- 0.469,0.916 +/- 1.083
chain_catastrophe,SafeQLearning,safe,2.125 +/- 0.394,1.366 +/- 1.356
chain_catastrophe,SafeExpectedSARSA,safe,2.073 +/- 0.216,0.947 +/- 0.973
chain_regime_shift,QLearning,classical,16.610 +/- 0.619,18.565 +/- 0.526
chain_regime_shift,ExpectedSARSA,classical,16.258 +/- 0.612,17.763 +/- 0.433
chain_regime_shift,SafeQLearning,safe,16.610 +/- 0.619,18.565 +/- 0.526
chain_regime_shift,SafeExpectedSARSA,safe,16.258 +/- 0.612,17.763 +/- 0.433
grid_sparse_goal,QLearning,classical,0.505 +/- 0.046,0.724 +/- 0.053
grid_sparse_goal,ExpectedSARSA,classical,0.505 +/- 0.046,0.725 +/- 0.047
grid_sparse_goal,SafeQLearning,safe,0.492 +/- 0.041,0.705 +/- 0.019
grid_sparse_goal,SafeExpectedSARSA,safe,0.487 +/- 0.036,0.699 +/- 0.019
grid_hazard,QLearning,classical,0.771 +/- 0.030,0.806 +/- 0.027
grid_hazard,ExpectedSARSA,classical,0.834 +/- 0.029,0.871 +/- 0.023
grid_hazard,SafeQLearning,safe,0.816 +/- 0.019,0.839 +/- 0.027
grid_hazard,SafeExpectedSARSA,safe,0.822 +/- 0.026,0.849 +/- 0.018
grid_regime_shift,QLearning,classical,0.919 +/- 0.014,0.953 +/- 0.006
grid_regime_shift,ExpectedSARSA,classical,0.914 +/- 0.027,0.932 +/- 0.030
grid_regime_shift,SafeQLearning,safe,0.909 +/- 0.018,0.934 +/- 0.021
grid_regime_shift,SafeExpectedSARSA,safe,0.862 +/- 0.074,0.887 +/- 0.059
taxi_bonus_shock,QLearning,classical,0.816 +/- 0.040,0.883 +/- 0.104
taxi_bonus_shock,ExpectedSARSA,classical,0.783 +/- 0.035,0.894 +/- 0.077
taxi_bonus_shock,SafeQLearning,safe,0.860 +/- 0.013,0.923 +/- 0.030
taxi_bonus_shock,SafeExpectedSARSA,safe,0.797 +/- 0.071,0.927 +/- 0.106
