task,algorithm,mean_clip_fraction,mean_effective_discount,mean_beta_used
chain_sparse_long,SafeVI,0.0000,0.990000,0.0000
chain_sparse_long,SafeMPI,0.0000,0.990000,0.0000
chain_sparse_long,SafeAsyncVI,0.0000,0.990000,0.0000
chain_sparse_long,SafeQLearning,0.0000,0.990000,0.0000
chain_sparse_long,SafeExpectedSARSA,0.0000,0.990000,0.0000
chain_jackpot,SafeVI,0.0500,0.990000,0.0000
chain_jackpot,SafeMPI,0.0000,0.990000,0.0000
chain_jackpot,SafeAsyncVI,0.0000,0.990000,0.0000
chain_jackpot,SafeQLearning,0.0500,0.990000,0.0000
chain_jackpot,SafeExpectedSARSA,0.0500,0.990000,0.0000
chain_catastrophe,SafeVI,0.3667,0.989998,-0.0000
chain_catastrophe,SafeMPI,0.0000,0.990000,-0.0000
chain_catastrophe,SafeAsyncVI,0.0000,0.990000,-0.0000
chain_catastrophe,SafeQLearning,0.3667,0.990000,-0.0000
chain_catastrophe,SafeExpectedSARSA,0.3667,0.990000,-0.0000
grid_sparse_goal,SafeVI,1.0000,0.990003,0.0000
grid_sparse_goal,SafeMPI,0.0000,0.990000,0.0000
grid_sparse_goal,SafeAsyncVI,0.0000,0.990000,0.0000
grid_sparse_goal,SafeQLearning,1.0000,0.990000,0.0000
grid_sparse_goal,SafeExpectedSARSA,1.0000,0.990000,0.0000
chain_regime_shift,SafeQLearning,0.1833,0.989998,0.0001
chain_regime_shift,SafeExpectedSARSA,0.1833,0.989997,0.0001
grid_hazard,SafeQLearning,0.7875,0.990000,-0.0000
grid_hazard,SafeExpectedSARSA,0.7875,0.990000,-0.0000
grid_regime_shift,SafeQLearning,0.4750,0.990000,0.0000
grid_regime_shift,SafeExpectedSARSA,0.4750,0.990001,0.0000
taxi_bonus_shock,SafeQLearning,0.5083,0.990000,0.0000
taxi_bonus_shock,SafeExpectedSARSA,0.5083,0.990000,0.0000
