run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,0,biased_exploitable,-1.336940829577292,-1.336940829577292,4.0,20,1.0,0.0,0.0,-0.16159455142787515,0.7855681648720936,0.9499999999999998,0.95,0.0,0.0,0.8048535823777211,1.6551077106197982,0.7861391284912626,0,0,-4.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,1,biased_exploitable,-1.9991724724572175,-1.9991724724572175,4.0,20,0.99981,0.85,1.1341477118411873,-0.8483155624768951,0.8840442820241101,0.5514984303133279,0.37503369044142487,0.85,0.1,1.0692436375201004,2.138181830633541,1.04540282059688,0,0,-4.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,2,biased_exploitable,-1.9999390050610286,-1.9999390050610286,2.0,20,0.99962,0.95,2.217281944740324,-1.1090998777184164,1.2090998777184165,0.4220101117656639,0.14532997076038492,0.95,0.05,1.1039571709413885,2.20886194226687,1.2562552029599376,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,3,biased_exploitable,-1.9999889106869595,-1.9999889106869595,-4.0,20,0.99943,0.9,2.5590860102437194,-1.2795820291357476,1.2796086347444444,0.29604918887157783,0.15794487925066644,0.95,0.0,0.9393619393754585,2.035639881878998,1.1888257318584132,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,4,biased_exploitable,-1.9999329762640659,-1.9999329762640659,-4.0,20,0.99924,0.75,2.199336073105933,-1.099674133868323,1.258316417813204,0.4174806534458527,0.10887225660333137,0.75,0.2,0.745218502585067,2.031446199545828,1.1227477907249301,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,5,biased_exploitable,-1.9999913989654858,-1.9999913989654858,1.0,20,0.99905,0.95,2.609896590647012,-1.3049920280440477,1.3049920280440477,0.29876651911214835,0.09908260179427594,1.0,0.0,0.5118170395264431,2.3338998813767824,1.629664029123879,0,0,-1.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,6,biased_exploitable,-1.9999991010179163,-1.9999991010179163,1.0,20,0.99886,0.95,3.0616462069370143,-1.530829686827993,1.6308296868279932,0.23596626035230628,0.06909705009114549,0.95,0.05,0.8633350657844556,2.42135554564001,1.6263579437840616,0,0,-1.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,7,biased_exploitable,-1.9999993073559235,-1.9999993073559235,2.0,20,0.99867,0.95,3.113807351507144,-1.5569043755681418,1.6569043755681416,0.21871294319971496,0.05230700553600513,0.95,0.05,0.6811631491819911,2.440728466274566,1.5576282438379503,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,8,biased_exploitable,-1.999998414505769,-1.999998414505769,4.0,20,0.99848,1.0,2.948180648248127,-1.474090834634206,1.474090834634206,0.18505887899435838,0.14653482696947523,1.0,0.0,0.7318900420895473,2.482081092532818,1.994952259167496,0,0,-4.0,0,0
headline-rps-adaptive_beta_no_clip-s16-195998679,rps,adaptive_beta_no_clip,16,9,biased_exploitable,-1.9999999861113322,-1.9999999861113322,-4.0,20,0.99829,1.0,3.8956943051782114,-1.9478486967405413,1.9478486967405413,0.12239903923181643,0.04130377259063763,1.0,0.0,0.9360375799298348,2.4313967251046518,1.867003502324896,0,0,4.0,0,0
