run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,0,biased_exploitable,1.0,1.0,7.0,20,1.0,0.45,0.00860164121102407,0.00860164121102407,0.49701112854563306,0.9455562403771138,0.9499999999999998,0.55,0.45,0.6989451985832884,1.741611255175583,0.8642385666200698,0,0,-7.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,1,biased_exploitable,1.0,1.0,-8.0,20,0.99981,0.1,-1.3454900853781067,-1.3454900853781067,1.3675916783581903,1.4761922842585378,1.690762365658911,0.15,0.8,0.6183211465366301,1.959857299855774,1.0935991035413917,0,0,8.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,2,biased_exploitable,1.0,1.0,4.0,20,0.99962,0.05,-1.1764552138605129,-1.1764552138605129,1.276455213860513,1.3753432087804653,1.2853720812730343,0.05,0.8,0.9837583892961407,2.813415288535877,1.8039530406751818,0,0,-4.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,3,biased_exploitable,1.0,1.0,4.0,20,0.99943,0.0,-1.890460861980698,-1.890460861980698,1.890460861980698,1.6144755694669577,1.710630166928925,0.05,0.95,1.5094949310503636,3.842524799668,2.610497080492512,0,0,-4.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,4,biased_exploitable,1.0,1.0,2.0,20,0.99924,0.0,-3.0888525011151375,-3.0888525011151375,3.0888525011151375,1.7936301986564875,1.8762989599907602,0.05,0.95,2.383516517282426,6.813117517716253,4.185227137385601,0,0,-2.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,5,biased_exploitable,1.0,1.0,-3.0,20,0.99905,0.0,-5.02029250161488,-5.02029250161488,5.02029250161488,1.9059062479612485,1.9399788090418233,0.0,1.0,4.1902381387379695,11.220173836412037,6.468628832463604,0,0,3.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,6,biased_exploitable,1.0,1.0,1.0,20,0.99886,0.05,-8.993830772240155,-8.993830772240155,9.093830772240157,1.8768145864381505,1.9498545645092848,0.05,0.95,8.583830988693975,25.998279767680444,15.246243675490433,0,0,-1.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,7,biased_exploitable,1.0,1.0,-4.0,20,0.99867,0.0,-18.245151922612553,-18.245151922612553,18.245151922612553,1.8999997896118603,1.9499999808791042,0.05,0.95,19.42837003953592,49.59098264301665,28.494454499805478,0,0,4.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,8,biased_exploitable,1.0,1.0,-4.0,20,0.99848,0.05,-40.16486690820878,-40.16486690820878,40.26486690820878,1.8777502409387705,1.95,0.05,0.95,46.131386000508016,116.7857996741907,54.92368087859495,0,0,4.0,0,0
headline-rps-fixed_positive-s8-195869670,rps,fixed_positive,8,9,biased_exploitable,1.0,1.0,-4.0,20,0.99829,0.0,-75.72000037310866,-75.72000037310866,75.72000037310866,1.9227833636418725,1.95,0.0,1.0,83.81729603273338,242.19507363019284,124.92172452860056,0,0,4.0,0,0
