run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,0,biased_exploitable,-1.0,-1.0,-1.0,20,1.0,0.7,0.18845896334060747,-0.18845896334060747,0.7511870945172674,0.8714183113610204,0.8110597370200322,0.7,0.3,0.6155598001792237,1.2321933258066833,0.5419244992077497,0,0,1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,1,biased_exploitable,-1.0,-1.0,-3.0,20,0.99981,0.7,0.680417676714935,-0.680417676714935,0.9623135879045994,0.6777018886815085,0.606107599982832,0.7,0.3,0.7088716917644834,1.6411830029230765,0.75068044341705,0,0,3.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,2,biased_exploitable,-1.0,-1.0,-2.0,20,0.99962,0.75,0.881582899592378,-0.881582899592378,0.9926130988088829,0.6027413822364835,0.6322773383130728,0.75,0.2,0.6746947946175375,1.9186993793997806,1.0624631464775396,0,0,2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,3,biased_exploitable,-1.0,-1.0,-2.0,20,0.99943,0.95,1.2179635511074052,-1.2179635511074052,1.2179635511074052,0.4755196820682876,0.4308288086717229,1.0,0.0,0.755993689841471,2.2146730791826728,1.3018121500148847,0,0,2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,4,biased_exploitable,-1.0,-1.0,4.0,20,0.99924,0.95,1.138529782296611,-1.138529782296611,1.2385297822966108,0.5215613665936948,0.40045811006565923,0.95,0.05,0.8682217911622153,2.3997815507836644,1.547556888669652,0,0,-4.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,5,biased_exploitable,-1.0,-1.0,2.0,20,0.99905,0.95,1.4163426710156226,-1.4163426710156226,1.4163426710156226,0.4289541832519662,0.32787763904549794,1.0,0.0,0.9140449837654028,2.507965200157283,1.4681497686377922,0,0,-2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,6,biased_exploitable,-1.0,-1.0,0.0,20,0.99886,0.95,1.552701639479439,-1.552701639479439,1.552701639479439,0.3732813884703275,0.30333582577849527,1.0,0.0,0.4754582681105847,2.5125727071205453,1.6212758779884657,0,0,0.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,7,biased_exploitable,-1.0,-1.0,-7.0,20,0.99867,0.95,1.95245687653497,-1.95245687653497,2.0524568765349698,0.29422908232596734,0.19720177738613992,0.95,0.05,0.45289716820278636,2.5011510174174907,1.6123982076549965,0,0,7.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,8,biased_exploitable,-1.0,-1.0,3.0,20,0.99848,0.95,1.421177206995307,-1.421177206995307,1.5211772069953071,0.4379249138386694,0.3105708038402129,0.95,0.05,0.8716859751204977,2.5991423342370314,1.8253367857902494,0,0,-3.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,9,biased_exploitable,-1.0,-1.0,2.0,20,0.99829,0.95,1.7397085072696945,-1.7397085072696945,1.7397085072696945,0.34705162349859175,0.2516096944272646,1.0,0.0,1.0559963878222727,2.7186421019359535,1.8962920255544375,0,0,-2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,10,biased_exploitable,-1.0,-1.0,1.0,20,0.9981,0.95,1.839932227156187,-1.839932227156187,1.839932227156187,0.33069636013805365,0.23811004388983667,1.0,0.0,1.017516651823617,2.7170768899629465,2.0162034197703753,0,0,-1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,11,biased_exploitable,-1.0,-1.0,2.0,20,0.99791,1.0,1.9483335166622002,-1.9483335166622002,1.9483335166622002,0.28893240295807404,0.2989367021400101,1.0,0.0,1.0192508819286137,2.815391898582459,1.638632501781285,0,0,-2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,12,biased_exploitable,-1.0,-1.0,6.0,20,0.99772,0.95,1.3017012802789256,-1.3017012802789256,1.4017012802789257,0.4738200096061586,0.5115001111756055,0.95,0.05,1.1959054283884278,2.676658703681924,1.3770427138664136,0,0,-6.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,13,biased_exploitable,-1.0,-1.0,-6.0,20,0.99753,1.0,1.676440977452367,-1.676440977452367,1.676440977452367,0.35179602744292693,0.3260821868060087,1.0,0.0,0.8099360770584358,2.3410086673348496,1.4559319127555896,0,0,6.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,14,biased_exploitable,-1.0,-1.0,-3.0,20,0.99734,0.95,1.567845365235532,-1.567845365235532,1.6678453652355318,0.39080601403455967,0.35363324379110406,0.95,0.05,0.5895253129195799,2.4531228897804263,1.5423695143344505,0,0,3.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,15,biased_exploitable,-1.0,-1.0,-1.0,20,0.99715,1.0,1.5343791028396832,-1.5343791028396832,1.5343791028396832,0.3838749370843884,0.32564380949405103,1.0,0.0,0.844411941966969,2.4843734070199246,1.6772909594047685,0,0,1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,16,biased_exploitable,-1.0,-1.0,5.0,20,0.99696,0.95,1.3991149674650583,-1.3991149674650583,1.3991149674650583,0.4253665509775465,0.2939990796569995,1.0,0.0,0.729137569604012,2.580039886281746,1.836381919786151,0,0,-5.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,17,biased_exploitable,-1.0,-1.0,4.0,20,0.99677,1.0,1.77055109898397,-1.77055109898397,1.77055109898397,0.3236504604153886,0.33974613727246455,1.0,0.0,0.8245343960405155,2.775383212078054,2.2865626366815133,0,0,-4.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,18,biased_exploitable,-1.0,-1.0,-7.0,20,0.99658,1.0,2.5217897101831115,-2.5217897101831115,2.5217897101831115,0.17674832530940593,0.171670006309217,1.0,0.0,0.8803135181599313,2.818186485202856,2.0762232524961597,0,0,7.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,19,biased_exploitable,-1.0,-1.0,4.0,20,0.99639,0.95,1.938416202553693,-1.938416202553693,2.038416202553693,0.3098461260052957,0.2169645388490669,0.95,0.05,0.8059431164146469,2.825929045872673,1.8573448791296494,0,0,-4.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,20,biased_exploitable,-1.0,-1.0,-5.0,20,0.9962,1.0,2.031475318351406,-2.031475318351406,2.031475318351406,0.25555681046932843,0.23759109404568857,1.0,0.0,0.44359984945826236,2.5918711815845836,1.9168631571390908,0,0,5.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,21,biased_exploitable,-1.0,-1.0,-5.0,20,0.99601,0.95,2.001445274831657,-2.001445274831657,2.001445274831657,0.2912484716293322,0.1808324897965623,1.0,0.0,0.745063861548747,2.6615300661454,1.9267312160648429,0,0,5.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,22,biased_exploitable,-1.0,-1.0,-4.0,20,0.99582,0.95,1.9091838331390485,-1.9091838331390485,2.0091838331390486,0.34015918041282306,0.11446570404946724,0.95,0.05,0.8511488491856797,2.6297893658009945,1.7589660364436415,0,0,4.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,23,biased_exploitable,-1.0,-1.0,-5.0,20,0.99563,0.95,1.9948661924331172,-1.9948661924331172,1.9948661924331172,0.2967587929547029,0.1835563402645577,1.0,0.0,0.7597419929168191,2.6213085886888465,1.7893061117167401,0,0,5.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,24,biased_exploitable,-1.0,-1.0,-1.0,20,0.99544,0.95,1.812333419130883,-1.812333419130883,1.812333419130883,0.3487164491479291,0.23799842355596376,1.0,0.0,0.7670746759269702,2.701868772105802,2.1324701684045992,0,0,1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,25,biased_exploitable,-1.0,-1.0,-6.0,20,0.99525,1.0,2.322873288662209,-2.322873288662209,2.322873288662209,0.2204956106732075,0.13958512382616647,1.0,0.0,0.8465214956451638,2.7582479898217023,1.6959793676557875,0,0,6.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,26,biased_exploitable,-1.0,-1.0,1.0,20,0.9950600000000001,0.95,1.737631844361843,-1.737631844361843,1.737631844361843,0.3358955189938421,0.25360831256606875,1.0,0.0,0.45645787530179777,2.699268809079985,2.127340531743119,0,0,-1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,27,biased_exploitable,-1.0,-1.0,1.0,20,0.99487,0.95,1.7520410832022837,-1.7520410832022837,1.7520410832022837,0.33800399074889975,0.24416576486130426,1.0,0.0,0.8005880553803435,2.6382173710049726,1.8308482808799498,0,0,-1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,28,biased_exploitable,-1.0,-1.0,3.0,20,0.99468,0.95,1.9126448079339418,-1.9126448079339418,2.012644807933942,0.33935503100967607,0.3828615507305464,0.95,0.05,0.7040431385100416,2.835257598117937,2.382351580628633,0,0,-3.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,29,biased_exploitable,-1.0,-1.0,-2.0,20,0.99449,0.95,2.2751161935659994,-2.2751161935659994,2.2751161935659994,0.24734699267726196,0.1508288692842837,1.0,0.0,0.9332903221723436,2.835257598117937,2.2326285834637,0,0,2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,30,biased_exploitable,-1.0,-1.0,2.0,20,0.9943,0.95,1.7560202813615429,-1.7560202813615429,1.856020281361543,0.3480557932067748,0.2755477203924475,0.95,0.05,0.9518777780582799,2.7755436690722446,1.7949612230586236,0,0,-2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,31,biased_exploitable,-1.0,-1.0,-1.0,20,0.99411,1.0,2.033995989131875,-2.033995989131875,2.033995989131875,0.280604762786129,0.22222985644303786,1.0,0.0,0.49658152697257146,2.7622735309782733,2.2576941856390977,0,0,1.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,32,biased_exploitable,-1.0,-1.0,0.0,20,0.99392,0.95,2.13081622435056,-2.13081622435056,2.2308162243505603,0.2751148120864879,0.17624363649391264,0.95,0.05,0.7688306991569045,2.786565116048942,2.1569496213807486,0,0,0.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,33,biased_exploitable,-1.0,-1.0,3.0,20,0.99373,0.95,1.9479481830075174,-1.9479481830075174,1.9479481830075174,0.281682332889768,0.18787702478588997,1.0,0.0,0.5723620032004402,2.7984201307654515,2.273315714763985,0,0,-3.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,34,biased_exploitable,-1.0,-1.0,2.0,20,0.99354,0.95,2.1505725585738458,-2.1505725585738458,2.250572558573846,0.2699399314821186,0.17375525233842162,0.95,0.05,0.7853765212068314,2.864487649541057,2.3290547277454783,0,0,-2.0,0,0
main-rps-fixed_negative-s5-195481490,rps,fixed_negative,5,35,biased_exploitable,-1.0,-1.0,3.0,20,0.99335,0.95,2.053627666285076,-2.053627666285076,2.053627666285076,0.2536812238165928,0.16854391113774642,1.0,0.0,0.5278128429625698,2.82549780714974,2.4035116962999696,0,0,-3.0,0,0
