run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,0,biased_exploitable,1.0,1.0,-2.0,20,1.0,0.4,-0.33192439701043164,-0.33192439701043164,0.9203070707569335,1.0907939533511555,1.2364339621476481,0.45,0.55,0.6593027780096393,1.5832353716458227,0.6679364482320181,0,0,2.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,1,biased_exploitable,1.0,1.0,-5.0,20,0.99981,0.25,-1.1229451264872308,-1.1229451264872308,1.2084705896911907,1.3884684319713279,1.5292523885312028,0.25,0.7,0.8027426456706566,1.99654995326728,0.9524907327148696,0,0,5.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,2,biased_exploitable,1.0,1.0,2.0,20,0.99962,0.05,-1.182320300743661,-1.182320300743661,1.187071227472174,1.4016943698602227,1.4242174034659376,0.05,0.85,1.0629102819201042,2.51651855194183,1.6249692903849893,0,0,-2.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,3,biased_exploitable,1.0,1.0,4.0,20,0.99943,0.0,-1.5755269173196633,-1.5755269173196633,1.5755269173196633,1.5258217253796587,1.4461646966942572,0.05,0.95,1.2265086722544871,3.372143087466889,2.2851129673311004,0,0,-4.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,4,biased_exploitable,1.0,1.0,-3.0,20,0.99924,0.0,-2.7445404706904517,-2.7445404706904517,2.7445404706904517,1.7808071404320358,1.8409670193780974,0.0,1.0,1.84617906426989,4.707821152560897,3.1163739159949047,0,0,3.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,5,biased_exploitable,1.0,1.0,3.0,20,0.99905,0.05,-3.3916159736062275,-3.3916159736062275,3.4916159736062276,1.809412381931773,1.886625511522351,0.05,0.95,2.502983496800304,7.329453082500816,4.525193857673974,0,0,-3.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,6,biased_exploitable,1.0,1.0,0.0,20,0.99886,0.0,-5.699363015407073,-5.699363015407073,5.699363015407073,1.8888181770949015,1.9434251998504597,0.05,0.95,4.898025350128289,13.481287118768627,8.21730279147479,0,0,0.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,7,biased_exploitable,1.0,1.0,-4.0,20,0.99867,0.0,-13.276397357977888,-13.276397357977888,13.276397357977888,1.9227397061114186,1.9499973269246094,0.0,1.0,14.76301604329809,34.053481481022175,16.50491970305258,0,0,4.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,8,biased_exploitable,1.0,1.0,0.0,20,0.99848,0.05,-24.627952232625855,-24.627952232625855,24.727952232625857,1.8777502311306637,1.9499999999615687,0.05,0.95,26.267774072220238,69.18999076125858,36.201169211198376,0,0,0.0,0,0
main-rps-fixed_positive-s5-195478721,rps,fixed_positive,5,9,biased_exploitable,1.0,1.0,-2.0,20,0.99829,0.05,-51.95670277536651,-51.95670277536651,52.05670277536651,1.8777502409387967,1.95,0.05,0.95,57.20327795054892,154.72764551908674,87.53273442252328,0,0,2.0,0,0
