cell,gamma,source,best_beta,best_method,best_auc_mean,vanilla_auc_mean,paired_d_cohen,paired_bootstrap_auc_advantage_mean,paired_bootstrap_auc_advantage_ci_lower,paired_bootstrap_auc_advantage_ci_upper,align_at_best_beta_final,align_at_best_beta_last200,h1_confirms,h2_evaluable,h2_ratio,h3_confirms
AC-FictitiousPlay,0.6,tier3,0.0,vanilla,522257.5,522257.5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-FictitiousPlay,0.8,tier3,0.0,vanilla,522100.9,522100.9,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-FictitiousPlay,0.9,tier3,0.0,vanilla,522178.5,522178.5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-FictitiousPlay,0.95,tier1,-0.2,fixed_beta_-0.2,522319.85,522104.75,0.2505582564526108,214.660985,-102.9025,531.6,0.9,0.9014000000000001,False,False,,True
AC-Inertia,0.6,tier3,0.0,vanilla,703376.8,703376.8,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Inertia,0.8,tier3,0.0,vanilla,699790.2,699790.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Inertia,0.9,tier3,0.0,vanilla,695827.0,695827.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Inertia,0.95,tier1,-0.2,fixed_beta_-0.2,703320.7,691226.45,5.966100457025485,12095.4972375,11537.5975,12734.45,0.915,0.9036500000000001,False,False,,True
AC-SmoothedBR,0.6,tier3,0.0,vanilla,531039.1,531039.1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-SmoothedBR,0.8,tier3,0.0,vanilla,531041.3,531041.3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-SmoothedBR,0.9,tier3,0.0,vanilla,531068.7,531068.7,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-SmoothedBR,0.95,tier1,0.0,vanilla,530848.5,530848.5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Trap,0.6,tier2,0.1,fixed_beta_+0.1,529077.8,528949.2,0.2739985001190024,128.6,45.2,212.0,0.05,0.04929999999999994,True,False,,False
AC-Trap,0.8,tier2,0.0,vanilla,528951.2,528951.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Trap,0.9,tier2,0.0,vanilla,529039.8,529039.8,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
AC-Trap,0.95,tier2,0.0,vanilla,529043.4,529043.4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
DC-Branching20,0.6,tier3,1.0,fixed_beta_+1.0,-2989.7,-2989.8,0.0016023578417378892,0.09903,-1.2,1.7,0.1842857142857143,0.15971563927988072,False,False,,False
DC-Branching20,0.8,tier3,0.0,vanilla,-2989.8,-2989.8,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
DC-Branching20,0.9,tier3,-1.0,fixed_beta_-1.0,-2989.7,-2989.8,0.0016023578417378892,0.09903,-1.2,1.7,0.8057142857142857,0.837184360720119,False,False,,True
DC-Branching20,0.95,tier1,0.0,vanilla,-2950.35,-2950.35,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
DC-Long50,0.6,tier2,-2.0,fixed_beta_-2.0,182029.46191041885,181569.80740046164,,459.65,459.65,459.65,0.9800000000000001,0.9800000000000004,False,True,,True
DC-Long50,0.8,tier2,-2.0,fixed_beta_-2.0,180099.32990307896,179051.35119240137,,1047.9787106775912,1047.9787106775912,1047.9787106775912,0.9800000000000001,0.9800000000000004,False,True,,True
DC-Long50,0.9,tier2,-2.0,fixed_beta_-2.0,178230.5822785634,176592.62857136002,,1637.9537072033852,1637.9537072033854,1637.9537072033854,0.9800000000000001,0.9800000000000004,False,True,,True
DC-Long50,0.95,tier2,-2.0,fixed_beta_-2.0,177304.18902514907,175161.33713144728,,2142.8518937017943,2142.8518937017943,2142.8518937017943,0.9800000000000001,0.9800000000000004,False,True,,True
DC-Medium20,0.6,tier3,-2.0,fixed_beta_-2.0,181785.97029586177,181323.4753216282,,462.4949742335594,462.49497423355933,462.49497423355933,0.95,0.9499999999999998,False,False,,True
DC-Medium20,0.8,tier3,-2.0,fixed_beta_-2.0,180753.71529224224,180016.2829678476,,737.4323243946418,737.4323243946419,737.4323243946419,0.95,0.9499999999999998,False,False,,True
DC-Medium20,0.9,tier3,-2.0,fixed_beta_-2.0,180282.59954119375,179304.89649125113,,977.7030499426183,977.7030499426182,977.7030499426182,0.95,0.9499999999999998,False,False,,True
DC-Medium20,0.95,tier1,-2.0,fixed_beta_-2.0,180094.59778861282,178945.07916499765,,1149.5186236151785,1149.5186236151785,1149.5186236151785,0.9499999999999998,0.9499999999999998,False,False,,True
