stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,0,cumulative_return_auc,520340.5,520340.5,148679.75033815982,0.85,0.8529999999999999,9.381739199466365,9.923099565018282,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,1,cumulative_return_auc,522417.0,522417.0,147390.7870146725,0.85,0.8517499999999998,10.353706336895026,10.353706336895026,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,2,cumulative_return_auc,521823.0,521823.0,145462.31118419158,0.85,0.8517499999999998,9.97311430570549,10.098415034912364,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,3,cumulative_return_auc,521546.5,521546.5,147522.17075064982,0.85,0.8527499999999998,9.693934822017996,10.168497195112838,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,4,cumulative_return_auc,520504.5,520504.5,152251.89637211926,0.85,0.8532499999999998,8.568394255159129,9.968930634187538,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,5,cumulative_return_auc,521892.5,521892.5,148603.10762024095,0.85,0.8537499999999997,9.856172251379444,10.1126492431134,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,6,cumulative_return_auc,522146.5,522146.5,148086.35472643533,0.85,0.8524999999999998,9.197310672901411,10.36292313343464,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,7,cumulative_return_auc,521397.5,521397.5,146029.3975944428,0.85,0.8524999999999997,9.832079658040737,10.047147073382233,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,8,cumulative_return_auc,520567.5,520567.5,148613.53948351555,0.85,0.8534999999999998,9.239471323400373,9.520836370194509,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2.0,-2.0,0.95,9,cumulative_return_auc,520195.0,520195.0,147338.8855180087,0.85,0.8524999999999998,9.602129526226303,10.266829688535449,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.7,-1.7,0.95,0,cumulative_return_auc,520540.5,520540.5,149473.10153516324,0.85,0.8529999999999999,9.875904673356034,10.080394560561976,0,57.0,58.335,False
