stage,game,subcase,method,n_seeds,auc_ret_mean,auc_ret_std,auc_neg_log_bres_mean,align_last200_mean,final_ret_mean
figures,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+0.1,5,407830.8000,46166.2156,49729.1591,0.0491,47.8000
figures,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+0.25,5,423121.1000,52588.8009,-34283.6467,0.0488,38.4000
figures,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.1,5,522237.9000,953.7186,141519.1724,0.9010,57.6000
figures,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.25,5,522286.1000,834.0662,143843.8141,0.9010,57.6000
figures,shapley,SH-FiniteMemoryRegret,fixed_beta_+0.1,5,99302.1000,1088.4024,6024.8639,0.0633,10.2000
figures,shapley,SH-FiniteMemoryRegret,fixed_beta_+0.25,5,86916.5000,1539.7055,-16808.9900,0.0633,9.4000
figures,shapley,SH-FiniteMemoryRegret,fixed_beta_-0.1,5,106559.4000,106.0621,7027.0971,0.9178,12.0000
figures,shapley,SH-FiniteMemoryRegret,fixed_beta_-0.25,5,106496.6000,155.1553,6127.8696,0.9170,11.2000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+0.5,10,437150.7500,45653.2899,-56612.9398,0.0488,42.1000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+1,10,454488.5500,65823.9390,-58453.5415,0.0489,51.1000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_+2,10,465911.0500,49685.8121,-65240.4537,0.0484,55.7000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,10,521973.6500,947.4745,145167.1840,0.9014,58.5000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1,10,521487.4500,944.4330,147076.7673,0.9014,58.5000
main,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-2,10,521283.0500,814.2668,147997.8201,0.8527,58.5000
main,asymmetric_coordination,AC-FictitiousPlay,vanilla,10,522104.7500,899.1472,136538.3064,0.0000,58.5000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_+0.5,10,432897.4000,1548.3129,5102.0699,0.0490,44.7000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_+1,10,467265.6000,20828.4116,-48411.5628,0.0561,43.5000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_+2,10,475644.5500,20876.2660,-43523.4800,0.0489,52.8000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_-0.5,10,530794.2000,463.2605,101286.9467,0.9014,58.5000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_-1,10,530792.5000,460.8065,101275.0065,0.9014,58.5000
main,asymmetric_coordination,AC-SmoothedBR,fixed_beta_-2,10,530794.9000,457.4745,101590.0135,0.8527,58.5000
main,asymmetric_coordination,AC-SmoothedBR,vanilla,10,530848.5000,479.5624,101807.5961,0.0000,58.5000
main,asymmetric_coordination,AC-Trap,fixed_beta_+0.5,10,420641.7000,5307.1615,-17296.1690,0.0490,40.4000
main,asymmetric_coordination,AC-Trap,fixed_beta_+1,10,464608.9500,45347.4629,-56508.2024,0.0511,44.9000
main,asymmetric_coordination,AC-Trap,fixed_beta_+2,10,452802.6500,17998.7590,-54071.8145,0.0479,46.1000
main,asymmetric_coordination,AC-Trap,fixed_beta_-0.5,10,528750.9500,563.7072,78418.1368,0.9012,58.5000
main,asymmetric_coordination,AC-Trap,fixed_beta_-1,10,528756.3500,570.6399,78405.3972,0.9012,58.5000
main,asymmetric_coordination,AC-Trap,fixed_beta_-2,10,528756.0500,564.7722,78746.2265,0.8524,58.5000
main,asymmetric_coordination,AC-Trap,vanilla,10,528943.2500,567.8343,80716.1925,0.0000,58.5000
main,delayed_chain,DC-Branching20,fixed_beta_+0.5,10,-2950.3500,78.7849,105046.0013,0.1628,-0.1000
main,delayed_chain,DC-Branching20,fixed_beta_+1,10,-2950.3500,78.7849,103099.2368,0.1628,-0.1000
main,delayed_chain,DC-Branching20,fixed_beta_+2,10,-2950.3500,78.7849,103252.5842,0.1628,-0.1000
main,delayed_chain,DC-Branching20,fixed_beta_-0.5,10,-2950.3500,78.7849,104503.5972,0.8339,-0.1000
main,delayed_chain,DC-Branching20,fixed_beta_-1,10,-2950.3500,78.7849,100315.3099,0.8339,-0.1000
main,delayed_chain,DC-Branching20,fixed_beta_-2,10,-2950.3500,78.7849,96171.4265,0.8339,-0.1000
main,delayed_chain,DC-Branching20,vanilla,10,-2950.3500,78.7849,107770.9162,0.0000,-0.1000
main,delayed_chain,DC-Long50,fixed_beta_+0.5,10,9999.0000,0.0000,83237.7729,0.0200,1.0000
main,delayed_chain,DC-Long50,fixed_beta_+1,10,9999.0000,0.0000,47845.6929,0.0200,1.0000
main,delayed_chain,DC-Long50,fixed_beta_+2,10,9999.0000,0.0000,34122.6736,0.0200,1.0000
main,delayed_chain,DC-Long50,fixed_beta_-0.5,10,9999.0000,0.0000,176305.6304,0.9800,1.0000
main,delayed_chain,DC-Long50,fixed_beta_-1,10,9999.0000,0.0000,176786.2183,0.9800,1.0000
main,delayed_chain,DC-Long50,fixed_beta_-2,10,9999.0000,0.0000,177304.1890,0.9800,1.0000
main,delayed_chain,DC-Long50,vanilla,10,9999.0000,0.0000,175161.3371,0.0000,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_+0.5,10,9999.0000,0.0000,175116.7348,0.0500,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_+1,10,9999.0000,0.0000,173260.6635,0.0500,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_+2,10,9999.0000,0.0000,172468.6962,0.0500,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_-0.5,10,9999.0000,0.0000,179522.4158,0.9500,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_-1,10,9999.0000,0.0000,179796.1498,0.9500,1.0000
main,delayed_chain,DC-Medium20,fixed_beta_-2,10,9999.0000,0.0000,180094.5978,0.9500,1.0000
main,delayed_chain,DC-Medium20,vanilla,10,9999.0000,0.0000,178945.0792,0.0000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_+0.5,10,9999.0000,0.0000,179779.5289,0.1000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_+1,10,9999.0000,0.0000,178929.4507,0.1000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_+2,10,9999.0000,0.0000,178532.3018,0.1000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_-0.5,10,9999.0000,0.0000,180916.5952,0.9000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_-1,10,9999.0000,0.0000,181098.8477,0.9000,1.0000
main,delayed_chain,DC-Short10,fixed_beta_-2,10,9999.0000,0.0000,181308.6089,0.9000,1.0000
main,delayed_chain,DC-Short10,vanilla,10,9999.0000,0.0000,180594.8459,0.0000,1.0000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_+0.5,10,30783.1000,3579.0765,-31751.5617,0.0785,4.0000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_+1,10,15985.7000,5733.2268,-39752.5168,0.0673,4.8000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_+2,10,4077.9000,6820.4799,-44439.2157,0.0518,-0.8000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_-0.5,10,84310.5000,255.0156,1108.8144,0.9003,10.8000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_-1,10,84281.7000,292.9543,87.5897,0.8815,12.0000
main,matching_pennies,MP-FiniteMemoryBR,fixed_beta_-2,10,84275.5000,317.9865,-492.3630,0.8136,11.6000
main,matching_pennies,MP-FiniteMemoryBR,vanilla,10,84168.6000,296.3962,4692.7884,0.0000,11.4000
main,matching_pennies,MP-Stationary,fixed_beta_+0.5,10,-159.0000,637.4590,-6247.0754,0.1926,0.0000
