cell,gamma,method,arm_00_beta_-2.00,arm_01_beta_-1.70,arm_02_beta_-1.35,arm_03_beta_-1.00,arm_04_beta_-0.75,arm_05_beta_-0.50,arm_06_beta_-0.35,arm_07_beta_-0.20,arm_08_beta_-0.10,arm_09_beta_-0.05,arm_10_beta_+0.00,arm_11_beta_+0.05,arm_12_beta_+0.10,arm_13_beta_+0.20,arm_14_beta_+0.35,arm_15_beta_+0.50,arm_16_beta_+0.75,arm_17_beta_+1.00,arm_18_beta_+1.35,arm_19_beta_+1.70,arm_20_beta_+2.00,total_pulls
AC-Trap,0.6000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.6000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.6000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.6000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.8000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.8000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.8000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.8000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9500,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9500,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9500,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9500,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9900,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9900,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9900,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
AC-Trap,0.9900,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.6000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,49850,25,120,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.6000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,48090,1900,5,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.6000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,49845,140,10,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.6000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,48090,1900,5,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.8000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.8000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.8000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.8000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9500,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9500,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9500,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9500,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9900,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9900,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9900,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
DC-Long50,0.9900,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.6000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,227,49246,522,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.6000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,194,49291,510,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.6000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,223,49741,31,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.6000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,238,49731,26,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.8000,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.8000,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.8000,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.8000,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9500,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9500,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9500,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9500,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9900,ac_ucb_ep,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9900,ac_ucb_ep_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9900,ac_ucb_tx,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
SH-FiniteMemoryRegret,0.9900,ac_ucb_tx_bkt,5,0,0,0,0,0,0,0,0,0,49995,0,0,0,0,0,0,0,0,0,0,50000
