cell,gamma,method,n_seeds,auc_return_mean,auc_return_std,alignment_last200_mean,alignment_last200_std,d_eff_last200_mean,d_eff_last200_std,bellman_final200_mean,bellman_final200_std,delta_auc_vs_vanilla,delta_auc_ci_lo,delta_auc_ci_hi,delta_alignment_vs_vanilla,delta_alignment_ci_lo,delta_alignment_ci_hi,divergence_event_runs
AC-Trap,0.6000,ac_ucb_ep,5,529002.4,397.0801430441971,0.0,0.0,0.5999999999999998,0.0,0.011470813501929676,0.0036895779757040205,0.2,-1.2,1.8,0.0,0.0,0.0,0
AC-Trap,0.6000,ac_ucb_ep_bkt,5,529002.4,397.0801430441971,0.0,0.0,0.5999999999999998,0.0,0.011470813501929676,0.0036895779757040205,0.2,-1.2,1.8,0.0,0.0,0.0,0
AC-Trap,0.6000,ac_ucb_tx,5,529002.4,397.0801430441971,0.0,0.0,0.5999999999999998,0.0,0.011470813501929676,0.0036895779757040205,0.2,-1.2,1.8,0.0,0.0,0.0,0
AC-Trap,0.6000,ac_ucb_tx_bkt,5,529002.4,397.0801430441971,0.0,0.0,0.5999999999999998,0.0,0.011470813501929676,0.0036895779757040205,0.2,-1.2,1.8,0.0,0.0,0.0,0
AC-Trap,0.6000,contraction_UCB_beta,5,448160.6,45350.94291676855,0.38400000000000006,0.4049912962027703,1.0268858959815987,0.5331232852534281,26.226367211847226,22.83691763887968,-80841.6,-117221.0,-38737.2,0.38400000000000006,0.05325,0.7163012500000001,0
AC-Trap,0.6000,fixed_beta_-0.5,5,528897.6,410.4697796427893,0.9006000000000002,0.00043588989435401935,0.28492835303496766,0.0004862241318482685,0.014666182594669896,0.004686850630312301,-104.6,-188.0,-4.6,0.9006000000000002,0.9002500000000001,0.9009500000000001,0
AC-Trap,0.6000,return_UCB_beta,5,526983.6,2732.0511415418273,0.8906500000000002,0.019829649517830786,0.3592518834815282,0.08786983034474606,0.013731689300423015,0.004736507673992174,-2018.6,-4768.6,-368.2,0.8906500000000002,0.8707999999999998,0.9008500000000002,0
AC-Trap,0.6000,vanilla,5,529002.2,396.0153532377249,0.0,0.0,0.5999999999999998,0.0,0.011470813670083941,0.003689578002129224,nan,nan,nan,nan,nan,nan,0
AC-Trap,0.8000,ac_ucb_ep,5,529004.6,380.62191213854203,0.0,0.0,0.8000000000000002,0.0,0.011470598110737746,0.003689430820060763,0.4,0.0,1.2,0.0,0.0,0.0,0
AC-Trap,0.8000,ac_ucb_ep_bkt,5,529004.6,380.62191213854203,0.0,0.0,0.8000000000000002,0.0,0.011470598110737746,0.003689430820060763,0.4,0.0,1.2,0.0,0.0,0.0,0
