stage,game,cell,method,beta,gamma,seed,is_baseline,return_AUC,headline_AUC,return_last200,align_last200,q_abs_max_max,divergence_event_sum
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,2,False,55856.0,55856.0,7.34,0.7839999999999999,2.63883087910718,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,5,False,56700.0,56700.0,7.71,0.7827500000000001,2.668299688229412,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,4,False,55772.0,55772.0,7.46,0.72375,2.493945271552276,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,3,False,56420.0,56420.0,7.77,0.782,2.642815382118917,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,6,False,56482.0,56482.0,7.18,0.7127500000000001,2.570685228008219,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,1,False,56658.0,56658.0,8.08,0.7895,2.5215388455279455,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,8,False,57034.0,57034.0,7.82,0.768,2.635424376752991,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,9,False,57160.0,57160.0,8.23,0.8065000000000001,2.588972623434657,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,0,False,56612.0,56612.0,7.99,0.7567500000000001,2.5828205048786734,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.75,-0.75,0.95,7,False,56068.0,56068.0,7.83,0.8005,2.5957220163873,0
