family,psi_json,lam,lam_tie,reward_scale,kappa_t_max,kappa_t_json,sign_family,horizon,gamma,contest_gap_abs,contest_gap_norm,contest_occupancy_ref,margin_pos,margin_pos_norm,delta_d,mass_delta_d,policy_disagreement,start_state_flip,value_gap,value_gap_norm,clip_fraction,clip_inactive_fraction,clip_saturation_fraction,raw_local_deriv_mean,raw_local_deriv_p50,raw_local_deriv_p90,raw_local_deriv_max,raw_convergence_status,_promoted,_promotion_reason,promotion_mode
A,"{""L"": 4, ""R"": 2.0, ""bump_center"": 2, ""bump_strength"": 0.5, ""bump_width"": 1.0, ""gamma"": 0.95, ""shape"": ""one_bump""}",0.46221233869065664,0.46221233869065664,2.0,0.965,"[0.9554925, 0.9554925, 0.957498254084826, 0.965]",1,4,0.95,2.220446049250313e-16,1.1102230246251565e-16,1.0,0.0045680170537559855,0.0022840085268779928,0.0025445489180280917,0.375,0.25,1,0.014373275010605813,0.007186637505302906,0.0,1.0,0.0,0.9480952887789218,0.95,0.9525593507878,0.9525593507878,not_evaluated,True,positive-family PASS (mode=safe_active_no_distortion),safe_active_no_distortion
A,"{""L"": 8, ""R"": 1.0, ""gamma"": 0.95, ""shape"": ""flat""}",0.10374029813638191,0.10374029813638191,1.0,0.965,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.965]",1,8,0.95,2.220446049250313e-16,2.220446049250313e-16,1.0,0.002123303466780669,0.002123303466780669,0.0010339822187967473,0.125,0.125,1,0.005234292859861545,0.005234292859861545,0.0,1.0,0.125,0.9489660177812032,0.95,0.95,0.95,not_evaluated,True,positive-family PASS (mode=safe_active_no_distortion),safe_active_no_distortion
A,"{""L"": 8, ""R"": 2.0, ""gamma"": 0.95, ""shape"": ""flat""}",0.20748059627276383,0.20748059627276383,2.0,0.965,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.965]",1,8,0.95,4.440892098500626e-16,2.220446049250313e-16,1.0,0.002123303466780669,0.0010616517333903344,0.0010339822187967473,0.125,0.125,1,0.01046858571972309,0.005234292859861545,0.0,1.0,0.125,0.9489660177812032,0.95,0.95,0.95,not_evaluated,True,positive-family PASS (mode=safe_active_no_distortion),safe_active_no_distortion
A,"{""L"": 8, ""R"": 2.0, ""bump_center"": 4, ""bump_strength"": 0.5, ""bump_width"": 1.0, ""gamma"": 0.95, ""shape"": ""one_bump""}",0.2074805962727638,0.2074805962727638,2.0,0.965,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9629198909834362, 0.9629198909834362, 0.965]",1,8,0.95,4.440892098500626e-16,2.220446049250313e-16,1.0,0.002049466412284586,0.001024733206142293,0.0014341719103997605,0.1875,0.125,1,0.01564115725385129,0.007820578626925645,0.0,1.0,0.125,0.9494381447850905,0.95,0.9525668419748828,0.954411691589039,not_evaluated,True,positive-family PASS (mode=safe_active_no_distortion),safe_active_no_distortion
A,"{""L"": 8, ""R"": 5.0, ""gamma"": 0.95, ""shape"": ""flat""}",0.5187014906819097,0.5187014906819097,5.0,0.965,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.965]",1,8,0.95,1.3322676295501878e-15,2.6645352591003756e-16,1.0,0.002123303466780669,0.0004246606933561338,0.0010339822187967473,0.125,0.125,1,0.026171464299306724,0.005234292859861345,0.0,1.0,0.125,0.9489660177812032,0.95,0.95,0.95,not_evaluated,True,positive-family PASS (mode=safe_active_no_distortion),safe_active_no_distortion
C,"{""L_tail"": 4, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0005700454366887992,0.0037455500202863146,0.75,0.0,0,0.05974542042694697,0.006638380047438552,1.0,0.0,1.0,0.9450065213795021,0.9534755756544879,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0002850227183443996,0.0037455500202863146,0.75,0.0,0,0.11949084085389394,0.006638380047438552,1.0,0.0,1.0,0.9450065213795021,0.9534755756544879,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9472965803727055,0.9522611346828002,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9472965803727055,0.9522611346828002,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 8, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,8,0.95,0.0,0.0,1.0,0.0025652044650995966,0.0002850227183443996,0.002038234335671338,0.375,0.0,0,0.051457410274622584,0.005717490030513621,1.0,0.0,1.0,0.9481651185555504,0.9514922620354237,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
