family,stage,xi_ref_t,beta_used_t,u_ref_used_t,design_margin,n_t,margin_q50,margin_q75,margin_q90,margin_q95,margin_q99,u_q50,u_q75,u_q90,u_q75_over_u_ref,frac_margin_ge_50pct,p_align
chain_sparse_credit,0,1,0.00049377349,0.01373291,27.812166,1000,0.96777868,3.274183,4.9726224,5.9780863,5.9780863,0.00047786346,0.0016167048,0.0024553491,0.11772485,0,0.32
chain_sparse_credit,1,1,0.00048005209,0.012879372,26.829113,1000,1.092246,3.6653922,4.9726224,5.9780863,5.9780863,0.00052433499,0.0017595792,0.0023871178,0.13661995,0,0.292
chain_sparse_credit,2,1,0.00046130759,0.011911392,25.820933,1000,1.3515519,4.0751905,5.4631555,5.9780863,5.9780863,0.00062348116,0.0018799163,0.0025201951,0.15782507,0,0.261
chain_sparse_credit,3,1,0.00043895789,0.010843277,24.702317,1000,1.6303248,4.4542605,5.4631555,5.9780863,5.9780863,0.00071564393,0.0019552328,0.0023980952,0.18031752,0,0.228
chain_sparse_credit,4,1,0.00043201127,0.010175705,23.554258,1000,1.6303248,4.4542605,5.9780863,5.9780863,5.9780863,0.00070431868,0.0019242907,0.0025826006,0.18910638,0,0.208
chain_sparse_credit,5,1,0.00039748832,0.0088977814,22.385013,1000,1.9211132,4.4542605,5.9780863,5.9780863,5.9780863,0.00076362006,0.0017705165,0.0023762195,0.19898405,0,0.171
chain_sparse_credit,6,1,0.00034824123,0.0073814392,21.196339,1000,2.2331954,4.4542605,5.9780863,5.9780863,5.9780863,0.00077769072,0.0015511571,0.0020818161,0.21014291,0,0.13
chain_sparse_credit,7,1,0.00033149414,0.0065994263,19.908124,1000,2.5592396,4.4542605,5.9780863,5.9780863,5.9780863,0.00084837293,0.0014765612,0.0019817006,0.22374085,0,0.11
chain_sparse_credit,8,1,0.00028511879,0.0053024292,18.597263,1000,2.9086392,4.5132422,5.9780863,5.9780863,5.9780863,0.00082930769,0.0012868102,0.0017044647,0.24268314,0,0.079
chain_sparse_credit,9,1,0.00025645404,0.0044250488,17.254744,1000,2.9086392,4.5132422,5.9780863,5.9780863,5.9780863,0.00074593227,0.0011574392,0.0015331044,0.26156529,0,0.06
