idx,family,total_score,predicted_mean_abs_u_informative,predicted_median_abs_u_informative,predicted_frac_informative_ge_5e3,mean_abs_target_gap_norm,informative_stage_frac,mean_abs_u_pred,frac_u_ge_5e3,error
0,chain_sparse_credit,7.11501554,0.00409080,0.00430244,0.37052632,0.00259293,0.95000000,0.00550311,0.80000000,
1,chain_sparse_credit,7.03053516,0.00403949,0.00422989,0.36605263,0.00259952,0.95000000,0.00547997,0.80000000,
2,chain_sparse_credit,8.38551533,0.00436251,0.00466015,0.39275862,0.00388393,0.96666667,0.00535161,0.80000000,
3,chain_sparse_credit,8.42266848,0.00434187,0.00457375,0.39965517,0.00386949,0.96666667,0.00536020,0.80000000,
4,chain_sparse_credit,10.20619447,0.00474850,0.00484293,0.45628205,0.00529032,0.97500000,0.00561564,0.87500000,
5,chain_sparse_credit,10.14344880,0.00471877,0.00476629,0.45653846,0.00522806,0.97500000,0.00560917,0.87500000,
6,chain_sparse_credit,3.02202187,0.00278554,0.00296778,0.01109375,0.00330444,0.96969697,0.00327429,0.00000000,
7,chain_sparse_credit,2.95384116,0.00275109,0.00292265,0.01109375,0.00324420,0.96969697,0.00325021,0.00000000,
8,chain_sparse_credit,4.22939362,0.00299942,0.00316742,0.00755102,0.00498710,0.98000000,0.00340339,0.00000000,
9,chain_sparse_credit,4.16019494,0.00297708,0.00312629,0.00755102,0.00490730,0.98000000,0.00339095,0.00000000,
10,chain_sparse_credit,5.01588020,0.00307496,0.00316741,0.00606061,0.00616876,0.98507463,0.00342514,0.00000000,
11,chain_sparse_credit,4.91453787,0.00304625,0.00312810,0.00606061,0.00604598,0.98507463,0.00340395,0.00000000,
12,chain_sparse_credit,5.11044506,0.00316639,0.00313310,0.28500000,0.00200026,0.95000000,0.00547383,0.75000000,
13,chain_sparse_credit,5.08186740,0.00314794,0.00308852,0.28342105,0.00200511,0.95000000,0.00550145,0.70000000,
14,chain_sparse_credit,6.94150743,0.00395070,0.00387782,0.32448276,0.00318332,0.96666667,0.00523816,0.66666667,
15,chain_sparse_credit,6.80924183,0.00389029,0.00379438,0.31931034,0.00313615,0.96666667,0.00519854,0.66666667,
16,chain_sparse_credit,8.66182299,0.00432874,0.00475167,0.38641026,0.00446226,0.97500000,0.00538987,0.75000000,
17,chain_sparse_credit,8.54844499,0.00429510,0.00471624,0.38128205,0.00440563,0.97500000,0.00538069,0.75000000,
18,chain_sparse_credit,2.68548685,0.00264153,0.00289078,0.01187500,0.00295673,0.96969697,0.00330683,0.00000000,
19,chain_sparse_credit,2.61731099,0.00260458,0.00284136,0.01187500,0.00290021,0.96969697,0.00328111,0.00000000,
20,chain_sparse_credit,4.01235995,0.00290984,0.00311979,0.01908163,0.00458926,0.98000000,0.00337965,0.02000000,
21,chain_sparse_credit,3.94021661,0.00288555,0.00311353,0.01908163,0.00450755,0.98000000,0.00336563,0.02000000,
22,chain_sparse_credit,4.91065621,0.00303592,0.00315701,0.01371212,0.00593784,0.98507463,0.00343082,0.01492537,
23,chain_sparse_credit,4.66393199,0.00299040,0.00312075,0.00000000,0.00581273,0.98507463,0.00339230,0.00000000,
24,chain_sparse_credit,3.56292929,0.00245238,0.00158351,0.22026316,0.00152355,0.95000000,0.00540477,0.75000000,
25,chain_sparse_credit,3.53943979,0.00245502,0.00152297,0.21710526,0.00152968,0.95000000,0.00543791,0.70000000,
26,chain_sparse_credit,5.67801089,0.00335141,0.00346776,0.27982759,0.00269276,0.96666667,0.00522681,0.63333333,
27,chain_sparse_credit,5.59913623,0.00330207,0.00340393,0.27844828,0.00265822,0.96666667,0.00520340,0.63333333,
28,chain_sparse_credit,7.78929694,0.00406543,0.00422698,0.34884615,0.00400386,0.97500000,0.00527448,0.70000000,
29,chain_sparse_credit,7.69660883,0.00402685,0.00424537,0.34589744,0.00395491,0.97500000,0.00526311,0.70000000,
30,chain_sparse_credit,2.19120824,0.00231882,0.00246866,0.02578125,0.00241521,0.96969697,0.00328014,0.03030303,
31,chain_sparse_credit,1.84962776,0.00224798,0.00242571,0.00000000,0.00235757,0.96969697,0.00321580,0.00000000,
32,chain_sparse_credit,3.41483553,0.00271840,0.00295469,0.00846939,0.00406052,0.98000000,0.00327953,0.00000000,
33,chain_sparse_credit,3.34504336,0.00269188,0.00292131,0.00846939,0.00398594,0.98000000,0.00326427,0.00000000,
34,chain_sparse_credit,4.52245984,0.00291940,0.00313683,0.01340909,0.00548186,0.98507463,0.00336594,0.01492537,
35,chain_sparse_credit,4.28279925,0.00287418,0.00311021,0.00000000,0.00536318,0.98507463,0.00332758,0.00000000,
