idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,terminal_reward,step_reward,micro_reward,cfg_json,error
0,dense_chain_cost,9.774408705405346,0.016524553298950195,1.0,1.0,0.00805042340205266,0.02,20,0.95,0.0,-0.02,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 0.02, ""micro_reward"": true}",
1,dense_chain_cost,8.998708579496906,0.014589803678716332,1.0,1.0,0.0071838119636319,0.02,20,0.97,0.0,-0.02,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 0.02, ""micro_reward"": true}",
2,dense_chain_cost,9.774408705405346,0.016524553298950195,1.0,1.0,0.00805042340205266,0.05,20,0.95,0.0,-0.05,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 0.05, ""micro_reward"": true}",
3,dense_chain_cost,9.774408705405346,0.016524553298950195,1.0,1.0,0.00805042340205266,0.1,20,0.95,0.0,-0.1,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 0.1, ""micro_reward"": true}",
4,dense_chain_cost,9.774408705405346,0.016524553298950195,1.0,1.0,0.00805042340205266,0.2,20,0.95,0.0,-0.2,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.2, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 0.2, ""micro_reward"": true}",
5,dense_chain_cost,5.808371112125851,0.011731306711832682,0.6666666666666666,1.0,0.00571525198781592,0.02,30,0.95,0.0,-0.02,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 0.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 0.02, ""micro_reward"": true}",
6,dense_chain_cost,8.998708579496906,0.014589803678716332,1.0,1.0,0.0071838119636319,0.05,20,0.97,0.0,-0.05,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 0.05, ""micro_reward"": true}",
7,dense_chain_cost,8.998708579496906,0.014589803678716332,1.0,1.0,0.0071838119636319,0.1,20,0.97,0.0,-0.1,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 0.1, ""micro_reward"": true}",
8,dense_chain_cost,8.998708579496906,0.014589803678716332,1.0,1.0,0.0071838119636319,0.2,20,0.97,0.0,-0.2,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.2, ""terminal_reward"": 0.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 0.2, ""micro_reward"": true}",
9,dense_chain_cost,5.2002448706558635,0.010445288328942398,0.6666666666666666,1.0,0.005143111512220368,0.02,30,0.97,0.0,-0.02,True,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 0.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 0.02, ""micro_reward"": true}",
