idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,error,cfg
0,dense_chain_cost,-1.5698707875985287,0.0006546974182128906,0.05,0.1,0.00031895515246269026,1.02,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.02}"
1,dense_chain_cost,-1.5408568189285665,0.0006546974182128906,0.05,0.1,0.00031895515246269026,2.02,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.02}"
2,dense_chain_cost,-1.5322906546892692,0.0006527900695800781,0.05,0.1,0.00032142455202673894,1.02,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.02}"
3,dense_chain_cost,-1.0776330658796354,0.0008433305689488513,0.05,0.1,0.00041085335410328655,1.05,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.05}"
4,dense_chain_cost,1.0936329722570994,0.0012939010884062282,0.05,0.3,0.0006303620687107265,1.1,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
5,dense_chain_cost,0.9336317731477981,0.0013182366566362777,0.10714285714285714,0.2857142857142857,0.0006422178583612636,1.02,30,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.02}"
6,dense_chain_cost,-1.5011029984731825,0.0006527900695800781,0.05,0.1,0.00032142455202673894,2.02,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.02}"
7,dense_chain_cost,-1.5839387871337032,0.0006546974182128906,0.05,0.1,0.00031895515246269026,2.05,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.05}"
8,dense_chain_cost,-1.3270056693775734,0.0007477059666280776,0.05,0.1,0.0003681597906747387,1.05,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.05}"
9,dense_chain_cost,-1.5474112670476172,0.0006527900695800781,0.05,0.1,0.00032142455202673894,2.05,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.05}"
10,dense_chain_cost,-1.0776330658796354,0.0008433305689488513,0.05,0.1,0.00041085335410328655,2.1,20,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.1}"
