task,algorithm,pre_sweeps,pre_wall_ms,post_sweeps,post_wall_ms,wall_ratio
chain_regime_shift,PE,1.0 +/- 0.0,0.7 +/- 0.1,1.0 +/- 0.0,0.6 +/- 0.0,0.85
chain_regime_shift,VI,1.0 +/- 0.0,0.2 +/- 0.0,1.0 +/- 0.0,0.2 +/- 0.0,1.02
chain_regime_shift,PI,2.0 +/- 0.0,1.4 +/- 0.0,25.0 +/- 0.0,17.2 +/- 0.5,12.41
chain_regime_shift,MPI,2.0 +/- 0.0,4.1 +/- 0.1,2.0 +/- 0.0,4.1 +/- 0.2,1.01
chain_regime_shift,AsyncVI,1.0 +/- 0.0,1.6 +/- 0.1,1.0 +/- 0.0,1.4 +/- 0.0,0.91
grid_regime_shift,PE,1.0 +/- 0.0,1.0 +/- 0.2,1.0 +/- 0.0,0.9 +/- 0.1,0.90
grid_regime_shift,VI,1.0 +/- 0.0,0.4 +/- 0.1,1.0 +/- 0.0,0.3 +/- 0.0,0.84
grid_regime_shift,PI,9.0 +/- 0.0,8.1 +/- 0.3,9.0 +/- 0.0,8.1 +/- 0.1,1.00
grid_regime_shift,MPI,2.0 +/- 0.0,5.5 +/- 0.1,2.0 +/- 0.0,5.7 +/- 0.1,1.03
grid_regime_shift,AsyncVI,1.0 +/- 0.0,2.2 +/- 0.3,1.0 +/- 0.0,2.0 +/- 0.0,0.91
