task,algorithm,mean_return,std,iqr,event_rate
chain_sparse_long,QLearning,15.285 +/- 0.753,0.976,1.527,
chain_sparse_long,ExpectedSARSA,15.765 +/- 0.741,0.948,1.052,
chain_jackpot,QLearning,1.521 +/- 0.301,0.399,0.670,0.000
chain_jackpot,ExpectedSARSA,1.521 +/- 0.301,0.399,0.670,0.000
chain_catastrophe,QLearning,1.324 +/- 0.907,1.184,1.634,0.000
chain_catastrophe,ExpectedSARSA,0.916 +/- 0.822,1.083,0.963,0.000
chain_regime_shift,QLearning,18.635 +/- 0.170,0.216,0.089,
chain_regime_shift,ExpectedSARSA,17.690 +/- 0.201,0.255,0.366,
grid_sparse_goal,QLearning,0.724 +/- 0.051,0.053,0.051,
grid_sparse_goal,ExpectedSARSA,0.725 +/- 0.045,0.047,0.045,
grid_hazard,QLearning,0.800 +/- 0.029,0.030,0.029,0.001
grid_hazard,ExpectedSARSA,0.867 +/- 0.025,0.025,0.025,0.000
grid_regime_shift,QLearning,0.848 +/- 0.024,0.025,0.024,
grid_regime_shift,ExpectedSARSA,0.901 +/- 0.049,0.050,0.049,
taxi_bonus_shock,QLearning,0.830 +/- 0.033,0.037,0.033,0.001
taxi_bonus_shock,ExpectedSARSA,0.872 +/- 0.105,0.110,0.105,0.001
